id,sku,category,description,formattedPrice,image,priceType,price,status,url,attributeValues,uomLabel,source
1049146,38C404,Cleaning and Janitorial / Paper Products & Dispensers / Paper Towels & Dispensers / Paper Towels,"GRAINGER Paper Towel Sheets: White, 9 1/4 in Sheet Wd, 9 1/2 in Sheet Lg, 250 Sheets, 1 Ply, 16 PK",$55.70,https://static.grainger.com/rp/s/is/image/Grainger/38C404_AS01__SDFU_v2,REGULAR,55.7,Sellable,https://www.grainger.com/product/GRAINGER-Paper-Towel-Sheets-White-38C404,"White, 9-1/4 in, 9-1/2 in, 250, 1, GRAINGER, GRAINGER",pkg. of 16,gcom
1050629,2U228,Cleaning and Janitorial / Paper Products & Dispensers / Paper Towels & Dispensers / Paper Towels,"GEORGIA-PACIFIC Paper Towel Sheets: White, 9 1/4 in Sheet Wd, 9 1/2 in Sheet Lg, 250 Sheets, 16 PK",$65.99,https://static.grainger.com/rp/s/is/image/Grainger/2U228_AW01,REGULAR,65.99,Sellable,https://www.grainger.com/product/GEORGIA-PACIFIC-Paper-Towel-Sheets-White-2U228,"White, 9-1/4 in, 9-1/2 in, 250, 1, Pacific Blue Basic™, GEORGIA-PACIFIC",pkg. of 16,gcom
1046078,6VD82,Cleaning and Janitorial / Paper Products & Dispensers / Paper Towels & Dispensers / Paper Towels,"GEORGIA-PACIFIC Paper Towel Sheets: White, 9 1/4 in Sheet Wd, 9 1/2 in Sheet Lg, 250 Sheets, 16 PK",$69.63,https://static.grainger.com/rp/s/is/image/Grainger/6VD82_AW01,REGULAR,69.63,Sellable,https://www.grainger.com/product/GEORGIA-PACIFIC-Paper-Towel-Sheets-White-6VD82,"White, 9-1/4 in, 9-1/2 in, 250, 1, Pacific Blue Select™, GEORGIA-PACIFIC",pkg. of 16,gcom
1039053,4TH60,Cleaning and Janitorial / Paper Products & Dispensers / Paper Towels & Dispensers / Paper Towels,"GEORGIA-PACIFIC Paper Towel Sheets: White, 10 1/4 in Sheet Wd, 10 3/4 in Sheet Lg, 220 Sheets, 10 PK",$91.21,https://static.grainger.com/rp/s/is/image/Grainger/4TH60_AW01,REGULAR,91.21,Sellable,https://www.grainger.com/product/GEORGIA-PACIFIC-Paper-Towel-Sheets-White-4TH60,"White, 10-1/4 in, 10-3/4 in, 220, 1, Pacific Blue Ultra™, GEORGIA-PACIFIC",pkg. of 10,gcom
1040044,3ZJD2,Cleaning and Janitorial / Paper Products & Dispensers / Paper Towels & Dispensers / Paper Towels,"GEORGIA-PACIFIC Paper Towel Sheets: White, 10 1/4 in Sheet Wd, 10 3/4 in Sheet Lg, 220 Sheets, 10 PK",$97.42,https://static.grainger.com/rp/s/is/image/Grainger/3ZJD2_AW01,REGULAR,97.42,Sellable,https://www.grainger.com/product/GEORGIA-PACIFIC-Paper-Towel-Sheets-White-3ZJD2,"White, 10-1/4 in, 10-3/4 in, 220, 1, Pacific Blue Ultra™ Big Fold®, GEORGIA-PACIFIC",pkg. of 10,gcom
1038037,42EP20,Cleaning and Janitorial / Paper Products & Dispensers / Paper Towels & Dispensers / Paper Towels,"KIMBERLY-CLARK PROFESSIONAL Paper Towel Sheets: White, 9 1/4 in Sheet Wd, 9 1/2 in Sheet Lg, 16 PK",$73.99,https://static.grainger.com/rp/s/is/image/Grainger/01890_S03__IHYI_v2,REGULAR,73.99,Sellable,https://www.grainger.com/product/KIMBERLY-CLARK-PROFESSIONAL-Paper-Towel-Sheets-White-42EP20,"White, 9-1/4 in, 9-1/2 in, 150, 1, Kleenex®, KIMBERLY-CLARK PROFESSIONAL",pkg. of 16,gcom
1045581,348GZ1,Cleaning and Janitorial / Paper Products & Dispensers / Paper Towels & Dispensers / Paper Towels,"KIMBERLY-CLARK PROFESSIONAL Paper Towel Sheets: White, 9 2/5 in Sheet Wd, 12 2/5 in Sheet Lg, 25 PK",$78.66,https://static.grainger.com/rp/s/is/image/Grainger/45957_S01_EN__MQOR_v2,REGULAR,78.66,Sellable,https://www.grainger.com/product/KIMBERLY-CLARK-PROFESSIONAL-Paper-Towel-Sheets-White-348GZ1,"White, 9-2/5 in, 12-2/5 in, 175, 1, Scott, KIMBERLY-CLARK PROFESSIONAL",pkg. of 25,gcom
1047132,42EP15,Cleaning and Janitorial / Paper Products & Dispensers / Paper Towels & Dispensers / Paper Towels,"KIMBERLY-CLARK PROFESSIONAL Paper Towel Sheets: White, 9 1/4 in Sheet Wd, 9 1/2 in Sheet Lg, 16 PK",$78.93,https://static.grainger.com/rp/s/is/image/Grainger/42EP15_AS01,REGULAR,78.93,Sellable,https://www.grainger.com/product/KIMBERLY-CLARK-PROFESSIONAL-Paper-Towel-Sheets-White-42EP15,"White, 9-1/4 in, 9-1/2 in, 250, 1, Scott® Essential™, KIMBERLY-CLARK PROFESSIONAL",pkg. of 16,gcom
4160225,21AD46,Cleaning and Janitorial / Paper Products & Dispensers / Paper Towels & Dispensers / Paper Towels,"KIMBERLY-CLARK PROFESSIONAL Paper Towel Sheets: White, 9 in Sheet Wd, 10 1/2 in Sheet Lg, 70 Sheets",$7.38,https://static.grainger.com/rp/s/is/image/Grainger/21AD46_AS01,REGULAR,7.38,Sellable,https://www.grainger.com/product/KIMBERLY-CLARK-PROFESSIONAL-Paper-Towel-Sheets-White-21AD46,"White, 9 in, 10-1/2 in, 70, 1, KIMBERLY-CLARK PROFESSIONAL",each,gcom
5699882,833DE0,Cleaning and Janitorial / Paper Products & Dispensers / Paper Towels & Dispensers / Paper Towels,"TORK Paper Towel Sheets: White, 9 1/8 in Sheet Wd, 9 1/2 in Sheet Lg, 135 Sheets, 2 Ply, 16 PK",$68.29,https://static.grainger.com/rp/s/is/image/Grainger/833DE0-01__TPPT_v1,REGULAR,68.29,Sellable,https://www.grainger.com/product/TORK-Paper-Towel-Sheets-White-833DE0,"White, 9-1/8 in, 9-1/2 in, 135, 2, H2 Tork Xpress, TORK",pkg. of 16,gcom
5701658,847ZK9,Cleaning and Janitorial / Paper Products & Dispensers / Paper Towels & Dispensers / Paper Towels,"TORK Paper Towel Sheets: White, 8 5/16 in Sheet Wd, 9 1/2 in Sheet Lg, 200 Sheets, 1 Ply, 12 PK",$60.29,https://static.grainger.com/rp/s/is/image/Grainger/847ZK9-03__31BQ_v2,REGULAR,60.29,Sellable,https://www.grainger.com/product/TORK-Paper-Towel-Sheets-White-847ZK9,"White, 8-5/16 in, 9-1/2 in, 200, 1, H2 Tork Xpress, TORK",pkg. of 12,gcom
5701659,847ZL0,Cleaning and Janitorial / Paper Products & Dispensers / Paper Towels & Dispensers / Paper Towels,"TORK Paper Towel Sheets: White, 8 5/16 in Sheet Wd, 9 1/2 in Sheet Lg, 250 Sheets, 1 Ply, 12 PK",$54.63,https://static.grainger.com/rp/s/is/image/Grainger/847ZL0-03__DMYP_v2,REGULAR,54.63,Sellable,https://www.grainger.com/product/TORK-Paper-Towel-Sheets-White-847ZL0,"White, 8-5/16 in, 9-1/2 in, 250, 1, H2 Tork Xpress, TORK",pkg. of 12,gcom
5701661,847ZL2,Cleaning and Janitorial / Paper Products & Dispensers / Paper Towels & Dispensers / Paper Towels,"TORK Paper Towel Sheets: White, 9 in Sheet Wd, 9 1/2 in Sheet Lg, 250 Sheets, 1 Ply, 12 PK",$69.59,https://static.grainger.com/rp/s/is/image/Grainger/847ZL2-03__HU0R_v2,REGULAR,69.59,Sellable,https://www.grainger.com/product/TORK-Paper-Towel-Sheets-White-847ZL2,"White, 9 in, 9-1/2 in, 250, 1, H2 Tork Xpress, TORK",pkg. of 12,gcom
5701662,847ZL3,Cleaning and Janitorial / Paper Products & Dispensers / Paper Towels & Dispensers / Paper Towels,"TORK Paper Towel Sheets: White, 9 1/8 in Sheet Wd, 9 1/2 in Sheet Lg, 189 Sheets, 2 Ply, 16 PK",$77.18,https://static.grainger.com/rp/s/is/image/Grainger/847ZL3-01__0B1K_v2,REGULAR,77.18,Sellable,https://www.grainger.com/product/TORK-Paper-Towel-Sheets-White-847ZL3,"White, 9-1/8 in, 9-1/2 in, 189, 2, H2 Tork Xpress, TORK",pkg. of 16,gcom
5701664,847ZL6,Cleaning and Janitorial / Paper Products & Dispensers / Paper Towels & Dispensers / Paper Towels,"TORK Paper Towel Sheets: Brown, 9 1/8 in Sheet Wd, 9 1/2 in Sheet Lg, 250 Sheets, 1 Ply, H2, 16 PK",$59.11,https://static.grainger.com/rp/s/is/image/Grainger/847ZL6-01__RT5J_v2,REGULAR,59.11,Sellable,https://www.grainger.com/product/TORK-Paper-Towel-Sheets-Brown-847ZL6,"Brown, 9-1/8 in, 9-1/2 in, 250, 1, H2, TORK",pkg. of 16,gcom
5701665,847ZL7,Cleaning and Janitorial / Paper Products & Dispensers / Paper Towels & Dispensers / Paper Towels,"TORK Paper Towel Sheets: Brown, 9 1/8 in Sheet Wd, 9 1/2 in Sheet Lg, 250 Sheets, 1 Ply, H2, 16 PK",$45.26,https://static.grainger.com/rp/s/is/image/Grainger/847ZL7-01__XTIN_v2,REGULAR,45.26,Sellable,https://www.grainger.com/product/TORK-Paper-Towel-Sheets-Brown-847ZL7,"Brown, 9-1/8 in, 9-1/2 in, 250, 1, H2, TORK",pkg. of 16,gcom
1051147,55VD24,Cleaning and Janitorial / Paper Products & Dispensers / Paper Towels & Dispensers / Paper Towels,"ABILITY ONE Paper Towel Sheets: White, 9 1/4 in Sheet Wd, 9 13/32 in Sheet Lg, 250 Sheets, 16 PK",$59.02,https://static.grainger.com/rp/s/is/image/Grainger/55VD24_AS01,REGULAR,59.02,Sellable,https://www.grainger.com/product/ABILITY-ONE-Paper-Towel-Sheets-White-55VD24,"White, 9-1/4 in, 9-13/32 in, 250, 1, No Series, ABILITY ONE",pkg. of 16,gcom
1039051,42EP22,Cleaning and Janitorial / Paper Products & Dispensers / Paper Towels & Dispensers / Paper Towels,"KIMBERLY-CLARK PROFESSIONAL Paper Towel Sheets: White, 9 1/2 in Sheet Wd, 12 1/2 in Sheet Lg, 25 PK",$96.66,https://static.grainger.com/rp/s/is/image/Grainger/G0713216__VMIT_v2,REGULAR,96.66,Sellable,https://www.grainger.com/product/KIMBERLY-CLARK-PROFESSIONAL-Paper-Towel-Sheets-White-42EP22,"White, 9-1/2 in, 12-1/2 in, 175, 1, Scott® Pro™ Scottfold, KIMBERLY-CLARK PROFESSIONAL",pkg. of 25,gcom
1049147,42EP21,Cleaning and Janitorial / Paper Products & Dispensers / Paper Towels & Dispensers / Paper Towels,"KIMBERLY-CLARK PROFESSIONAL Paper Towel Sheets: White, 7 3/4 in Sheet Wd, 12 1/2 in Sheet Lg, 25 PK",$77.26,https://static.grainger.com/rp/s/is/image/Grainger/G0713207__UA0W_v2,REGULAR,77.26,Sellable,https://www.grainger.com/product/KIMBERLY-CLARK-PROFESSIONAL-Paper-Towel-Sheets-White-42EP21,"White, 7-3/4 in, 12-1/2 in, 175, 1, Scott® Pro™ Scottfold, KIMBERLY-CLARK PROFESSIONAL",pkg. of 25,gcom
1040345,60HW06,Cleaning and Janitorial / Paper Products & Dispensers / Paper Towels & Dispensers,"KIMBERLY-CLARK PROFESSIONAL Paper Towel Dispenser: Hardwound, 7 1/2 in Paper Towel Wd, 1 3/4 in",$31.31,https://static.grainger.com/rp/s/is/image/Grainger/60HW06_AS01,REGULAR,31.31,Sellable,https://www.grainger.com/product/KIMBERLY-CLARK-PROFESSIONAL-Paper-Towel-Dispenser-Hardwound-60HW06,"1-3/4 in, Hardwound, 7-1/2 in, Plastic, Black, (1) Roll with Stub Roll, Scott® Pro™, No-Touch Dispensing System, Quiet Operation, KIMBERLY-CLARK PROFESSIONAL",each,gcom
1048448,60HW07,Cleaning and Janitorial / Paper Products & Dispensers / Paper Towels & Dispensers,"KIMBERLY-CLARK PROFESSIONAL Paper Towel Dispenser: Hardwound, 7 1/2 in Paper Towel Wd, 1 3/4 in",$31.31,https://static.grainger.com/rp/s/is/image/Grainger/60HW07_AS01,REGULAR,31.31,Sellable,https://www.grainger.com/product/KIMBERLY-CLARK-PROFESSIONAL-Paper-Towel-Dispenser-Hardwound-60HW07,"1-3/4 in, Hardwound, 7-1/2 in, Plastic, White, (1) Roll with Stub Roll, Scott® Pro™, No-Touch Dispensing System, Quiet Operation, KIMBERLY-CLARK PROFESSIONAL",each,gcom
